"","AKT2","ERBB2","CCNE1"
"TCGA-DD-A1EC",NA,NA,0
"TCGA-DD-A1ED",NA,NA,0
"TCGA-DD-A1EE",NA,NA,0
"TCGA-DD-A1EF",NA,NA,0
"TCGA-DD-A1EG",NA,NA,0
"TCGA-DD-A1EH",NA,NA,0
"TCGA-DD-A1EI",NA,NA,0
"TCGA-DD-A1EJ",NA,NA,0
"TCGA-DD-A1EK",NA,NA,0
"TCGA-DD-A1EL",NA,NA,0
"TCGA-DD-A39V",NA,NA,0
"TCGA-DD-A39W",NA,NA,0
"TCGA-DD-A39X",NA,NA,0
"TCGA-DD-A39Y",NA,NA,0
"TCGA-DD-A39Z",NA,NA,0
"TCGA-DD-A3A0",NA,NA,0
"TCGA-DD-A3A1",NA,NA,0
"TCGA-DD-A3A2",NA,NA,0
"TCGA-DD-A3A3",NA,NA,0
"TCGA-DD-A3A4",NA,NA,0
"TCGA-DD-A3A5",NA,NA,0
"TCGA-DD-A3A6",NA,NA,0
"TCGA-DD-A3A7",NA,NA,0
"TCGA-DD-A3A8",NA,NA,0
