"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"ASPC1",1.3966,0.2155,3.4197,0.2758,0.411,0.02477,0.6383,0.6001,0.1851,1.1518,4.1905,0.4228,2.2418,1.5994,0.4818,2.611,0,4.0922,2.1312,0.2848,1.5547,1.4991,0.5118,0.2484
"KYSE180",1.2614,NA,4.5305,0.4611,1.7008,0.4469,1.6671,1.0874,NA,0.786,3.9365,0.3126,NA,3.9397,0.6691,0.3991,NA,6.5708,0.3191,0.5049,NA,1.0755,0.8789,1.55
"RAJI",0.4082,0.3417,1.9767,0.4254,0.3515,0.5263,0.0146,0.02249,0.3786,0.8993,4.1707,0.03069,NA,3.4747,0.0443,0.5314,0.2033,6.0218,0.2204,0.121,0.5103,0.1373,0.3131,0.218
"NCIN87",0.8738,1.2436,6.109,0.4056,4.381,0.7817,2.0389,0.5961,0.6826,1.4258,4.5723,0.4951,NA,3.5494,0.6739,2.0757,0.7402,5.695,1.7723,0.6974,1.8996,1.8145,1.0356,0.9619
"MIAPACA2",1.4882,0.259,4.5336,0.5045,0.429,0.23,1.5617,1.0965,0.02159,1.3838,5.4217,0.7994,3.4062,3.8799,0.3787,3.7488,0.3324,5.7431,2.824,0.1083,1.3487,2.0974,0.735,0.07553
"SUPM2",0.1908,0.1514,4.1261,0.5715,0,0.312,0,1.7536,0.3893,0.3674,5.489,0.04683,5.0054,4.3541,3.1432,1.5185,0.7352,7.6077,1.0256,0.1102,0.5358,4.0199,0.08662,0
"BXPC3",0.7268,NA,3.4843,0.8834,1.2981,0.8451,1.5541,0.5536,0.3731,1.2382,3.9718,0.3544,NA,2.8842,2.374,2.8579,NA,5.4667,1.9699,0.8857,NA,1.6433,1.1114,0.7307
"SKNDZ",1.9651,NA,2.942,0.4223,0.1598,0.2146,1.5357,1.2322,0.7382,1.1118,5.6735,0.154,NA,3.8043,0.7765,0.2465,0.8865,5.864,0.7211,0.1446,0.6303,1.5215,0.986,0.04943
"SKNAS",1.1907,NA,2.5368,0.09334,0.08355,0.3259,0.3985,1.1172,0.4597,0.9418,5.2683,0.3163,NA,3.1954,0.5947,3.5526,0.8092,5.2472,3.1582,0.07928,NA,1.356,0.2845,0.03266
"CAL12T",2.0875,NA,3.5,1.5377,1.4973,0.6988,1.8817,1.1889,NA,2.5282,4.1571,0.6577,NA,1.9431,1.1054,2.2204,NA,4.9761,1.2348,0.5977,NA,2.8724,1.5021,1.7747
"PANC0203",1.5713,0.3683,3.4803,0.3393,1.0355,0.6172,1.669,0.8964,0.06966,1.9639,4.357,0.5173,2.7868,2.4189,0.2337,4.8153,0.8133,4.0096,3.4381,0.1131,0.9657,1.1405,0.647,1.0194
"SIMA",2.8915,1.172,2.3687,0.4474,0.5922,0.8092,1.0497,1.0319,1.2502,1.3277,4.7345,1.1921,4.8066,4.5036,0.6322,3.3683,1.6616,5.5779,1.7358,0.1373,2.1238,2.6995,1.5244,0.1907
"PATU8902",1.3212,NA,2.4817,0.6979,0.2098,0.4023,0.9396,0.4002,0.405,0.9198,3.9954,0.4794,NA,2.263,0.6972,2.216,NA,3.2911,1.4749,0.2355,NA,1.4907,0.6359,0.0789
"PANC0403",0.7045,0.6639,2.6612,0.09142,0.6503,0.3671,0.7926,0.5411,0.1511,0.3849,3.5197,0.4002,1.7691,1.7677,0.3004,2.8214,0.2123,3.9711,1.4602,0.09336,0.688,1.5515,0.4505,0.494
"ESS1",1.5524,NA,3.4977,2.2772,1.2909,0.7388,1.8504,1.3171,NA,1.3919,4.7936,0.4498,NA,6.209,4.4022,0.9489,NA,6.5069,0.5129,0.8378,NA,1.9378,1.7331,0.6877
"TC71",0.425,0,1.9739,0,0,0.05201,0.02867,0.6631,0,0.3741,4.6377,0.007735,3.5768,3.7927,0.1439,0,0,6.8648,0.01673,0.04168,0.2494,0.5449,0.8521,0
"HCC1395",0.7086,NA,2.6091,0.4523,0.3471,0.1969,1.8946,0.2731,0.4006,1.5061,2.8148,0.3345,NA,2.5762,1.2891,0.56,NA,5.4493,0.6753,0.3832,NA,0.4094,0.7068,0.5515
